Latitudine,Longitudine
39.4364559,-0.3342345
39.4365543,-0.3342359
39.4366403,-0.3342318
39.43672,-0.3342332
39.4368091,-0.3342318
39.4368972,-0.3342278
39.4369924,-0.3342292
39.4370836,-0.3342211
39.4371727,-0.3342171
39.4372576,-0.3342117
39.4373539,-0.334205
39.4374409,-0.3341889
39.43753,-0.3341728
39.4376108,-0.3341527
39.4376978,-0.334146
39.4377869,-0.3341326
39.4378728,-0.3341205
39.4379578,-0.3340977
39.4380427,-0.3340763
39.4381225,-0.3340548
39.4382115,-0.3340401
39.4383016,-0.3340159
39.4383907,-0.3339864
39.4384788,-0.3339569
39.4385523,-0.3339328
39.4386486,-0.3338992
39.4387346,-0.3338604
39.4388216,-0.3338188
39.4389075,-0.3337759
39.4389914,-0.3337303
39.4390764,-0.3336954
39.439189,-0.3336436
39.4392885,-0.3335954
39.4393734,-0.3335484
39.4394687,-0.3335109
39.4395443,-0.3334827
39.4396412,-0.333462
39.4397116,-0.3334084
39.4397924,-0.3333521
39.439867,-0.3332957
39.4399385,-0.3332421
39.4400068,-0.3331885
39.4400752,-0.3331348
39.4401518,-0.3330798
39.4402233,-0.3330248
39.4402958,-0.3329605
39.4403683,-0.3328988
39.4404398,-0.3328357
39.4405174,-0.3327673
39.4406003,-0.3326936
39.4406697,-0.3326386
39.440738,-0.3325769
39.4408147,-0.3325152
39.440882,-0.3324522
39.4409473,-0.3323999
39.4410115,-0.3323422
39.441084,-0.3322752
39.4411482,-0.3322215
39.4412124,-0.3321692
39.441288,-0.3321062
39.4413729,-0.3320297
39.4414392,-0.3319613
39.4415179,-0.3319064
39.4376717,-0.3340215
39.4415946,-0.3318272
39.4375308,-0.3339652
39.4416816,-0.3317562
39.4417582,-0.3316971
39.4373547,-0.3339088
39.441839,-0.3316234
39.4371994,-0.3339062
39.4419198,-0.3315536
39.4370399,-0.3339034
39.4368845,-0.3339061
39.4420026,-0.3314879
39.4367271,-0.3339008
39.442072,-0.3314262
39.4365738,-0.3338739
39.4421559,-0.3313498
39.4364205,-0.3338471
39.4362796,-0.3338042
39.436142,-0.3337591
39.4359887,-0.3336947
39.4358272,-0.3336089
39.4422305,-0.3312895
39.4356822,-0.3335445
39.435533,-0.333448
39.4423113,-0.3312278
39.4354046,-0.3333943
39.44239,-0.3311473
39.4352844,-0.3333085
39.4424708,-0.3310789
39.4351643,-0.3332602
39.4425484,-0.3310118
39.4350565,-0.3331905
39.4426292,-0.3309528
39.4349281,-0.3331298
39.4427131,-0.3308844
39.4347748,-0.3330333
39.4346008,-0.3329314
39.4344309,-0.3328348
39.4427898,-0.3308214
39.434319,-0.3327865
39.4428705,-0.3307651
39.434174,-0.3326953
39.4340829,-0.3326095
39.4429482,-0.3307088
39.4339917,-0.3324915
39.4430259,-0.3306538
39.4431046,-0.33058
39.4338572,-0.3324567
39.4336873,-0.3324085
39.4335464,-0.3323709
39.4334801,-0.3322636
39.4334304,-0.3320437
39.4333766,-0.3318559
39.4332978,-0.3316735
39.4332481,-0.3314697
39.4331818,-0.3313409
39.4330658,-0.3312015
39.4329931,-0.3309775
39.4329102,-0.3307201
39.4328274,-0.3304626
39.4327279,-0.3302373
39.4326616,-0.329969
39.4325871,-0.3297276
39.4325125,-0.3295345
39.4324503,-0.3293038
39.4323633,-0.3290947
39.432297,-0.3288479
39.4322266,-0.3286467
39.4321479,-0.3284402
39.4320567,-0.3281237
39.4319531,-0.3278072
39.4318371,-0.3274585
39.431717,-0.3270883
39.431636,-0.3268328
39.4315821,-0.3266235
39.4315158,-0.3264465
39.4320172,-0.32797
39.4319094,-0.3276428
39.4431477,-0.3304917
39.4314578,-0.3262802
39.4431829,-0.3303737
39.4313915,-0.3261247
39.4432596,-0.3302154
39.4313418,-0.3259262
39.4433818,-0.3301162
39.4312672,-0.3257438
39.4312092,-0.3255346
39.4434957,-0.3300223
39.4311222,-0.3252824
39.4435993,-0.3299365
39.4310683,-0.3250518
39.4437132,-0.329856
39.4309938,-0.3248318
39.4438209,-0.3297809
39.4309229,-0.3246454
39.4439286,-0.3297112
39.4308607,-0.3244737
39.4440467,-0.32962
39.4308027,-0.3243021
39.4441647,-0.3295315
39.4307406,-0.3241197
39.4442704,-0.3294564
39.4306784,-0.3239105
39.444376,-0.3293893
39.4306038,-0.3236744
39.4305375,-0.3234491
39.4444962,-0.329282
39.4304629,-0.3232292
39.4446018,-0.3291774
39.4303966,-0.3230253
39.4303262,-0.3227947
39.4447095,-0.3290782
39.4302641,-0.3226391
39.4448048,-0.3289762
39.444898,-0.3288716
39.4317776,-0.3272883
39.4449829,-0.3287751
39.445014,-0.328649
39.4450098,-0.3284934
39.4449663,-0.3284022
39.444927,-0.3283218
39.4321082,-0.3282816
39.4302022,-0.3224452
39.4448852,-0.3282503
39.4448376,-0.3281806
39.4448065,-0.3281162
39.4447571,-0.3280424
39.4447166,-0.3279714
39.4446729,-0.3278873
39.4446211,-0.3278068
39.4445662,-0.3277196
39.4445124,-0.3276325
